date,subs,views,subs_techtrek,views_techtrek,followers_instagram,following_instagram,media_instagram,avg_likes_instagram,avg_comments_instagram,followers_twitter,following_twitter,tweets_twitter,favorites_twitter,followers_tiktok,following_tiktok,likes_tiktok,uploads_tiktok
2021-12-27,141000.0,9078137.0,2470.0,12284.0,4315.0,796.0,151.0,515.875,32.125,3466.0,169.0,483.0,691.0,,,,
2021-12-26,141000.0,9057542.0,2470.0,12265.0,4317.0,796.0,151.0,515.625,32.125,3462.0,169.0,483.0,691.0,,,,
2021-12-25,141000.0,9057542.0,2470.0,12249.0,4314.0,796.0,151.0,515.625,32.125,3459.0,176.0,483.0,692.0,,,,
2021-12-24,141000.0,9048460.0,2460.0,12224.0,4314.0,796.0,151.0,515.625,32.125,3459.0,176.0,483.0,692.0,,,,
2021-12-23,141000.0,9029653.0,2460.0,12188.0,4314.0,796.0,151.0,515.562,32.125,3457.0,176.0,483.0,692.0,,,,
2021-12-22,140000.0,9029653.0,2460.0,12150.0,4314.0,796.0,151.0,515.562,32.125,3458.0,176.0,483.0,691.0,,,,
2021-12-21,140000.0,9019391.0,2450.0,12119.0,4314.0,796.0,151.0,515.562,32.125,3458.0,175.0,483.0,690.0,,,,
2021-12-20,140000.0,9009481.0,2450.0,12078.0,4313.0,796.0,151.0,515.562,32.125,3456.0,175.0,483.0,690.0,,,,
2021-12-19,140000.0,9000177.0,2440.0,12045.0,4313.0,794.0,151.0,515.438,32.125,3457.0,175.0,483.0,690.0,,,,
2021-12-18,140000.0,8991655.0,2440.0,12017.0,4304.0,794.0,151.0,514.375,32.125,3454.0,175.0,483.0,690.0,,,,
2021-12-17,140000.0,8983564.0,2440.0,11980.0,4307.0,795.0,151.0,514.938,32.125,3454.0,175.0,483.0,690.0,,,,
2021-12-16,140000.0,8974777.0,2430.0,11941.0,4306.0,794.0,151.0,515.0,32.125,3454.0,175.0,483.0,690.0,,,,
2021-12-15,140000.0,8965889.0,2430.0,11892.0,4308.0,795.0,151.0,514.938,32.125,3453.0,175.0,483.0,690.0,,,,
2021-12-14,140000.0,8957463.0,2420.0,11833.0,4307.0,795.0,151.0,514.562,32.125,3451.0,175.0,483.0,690.0,,,,
2021-12-13,139000.0,8940140.0,2420.0,11777.0,4305.0,795.0,151.0,514.562,32.125,3452.0,175.0,483.0,690.0,,,,
2021-12-12,139000.0,8930703.0,2410.0,11737.0,4302.0,795.0,151.0,514.5,32.125,3456.0,175.0,483.0,690.0,,,,
2021-12-11,139000.0,8930703.0,2410.0,11701.0,4302.0,795.0,151.0,514.5,32.125,3456.0,175.0,483.0,690.0,,,,
