date,subs,views
2020-09-10,70600,4743511
2020-09-09,70400,4733808
2020-09-08,70200,4722423
2020-09-07,70000,4712884
2020-09-06,69900,4708724
2020-09-05,69600,4696719
2020-09-04,69500,4689159
2020-09-03,69300,4680051
2020-09-02,69100,4670104
2020-09-01,68900,4660826
2020-08-31,68800,4651956
2020-08-30,68600,4643145
2020-08-29,68500,4635646
2020-08-28,68400,4627426
2020-08-27,68200,4619042
2020-08-26,68100,4610900
2020-08-25,67900,4602781
2020-08-24,67800,4593199
2020-08-23,67700,4587493
2020-08-22,67500,4576263
2020-08-21,67300,4567781
2020-08-20,67200,4563894
2020-08-19,67000,4551776
2020-08-18,66700,4538910
2020-08-17,66500,4530103
2020-08-16,66300,4520708
2020-08-15,66100,4512027
2020-08-14,65900,4503026
2020-08-13,65800,4493037
2020-08-12,65600,4485027
2020-08-11,65400,4478597
2020-08-09,65100,4459799
2020-08-08,64900,4448709
2020-08-07,64600,4436322
2020-08-05,64300,4419500
2020-08-04,64100,4409791
2020-08-03,63800,4395476
2020-08-01,63500,4384516
2020-07-31,63200,4371136
2020-07-30,63000,4358343
2020-07-28,62800,4344679
2020-07-27,62600,4333758
2020-07-26,62500,4328039
2020-07-25,62200,4315800
2020-07-24,62100,4306840
2020-07-23,61900,4298246
2020-07-22,61800,4289335
2020-07-21,61700,4285689
2020-07-20,61500,4271121
2020-07-19,61300,4265639
2020-07-18,61000,4250899
2020-07-17,60900,4241411
2020-07-16,60700,4231933
2020-07-15,60500,4222392
2020-07-14,60400,4217887
2020-07-13,60200,4207789
2020-07-12,60000,4194424
2020-07-11,59700,4180819
2020-07-10,59500,4172547
2020-07-09,59300,4163187
2020-07-08,59200,4154263
2020-07-07,59100,4149197
2020-07-06,58800,4135416
2020-07-05,58700,4127874
2020-07-04,58500,4120255
2020-07-03,58400,4112822
2020-07-02,58200,4102112
2020-07-01,58100,4096624
2020-06-30,57900,4086633
2020-06-29,57700,4073918
2020-06-28,57500,4063645
2020-06-27,57300,4053706
2020-06-25,57100,4038531
2020-06-24,56900,4030140
2020-06-23,56600,4022472
2020-06-22,56500,4011995
2020-06-21,56200,3997760
2020-06-20,56100,3988757
2020-06-19,55900,3978040
2020-06-18,55700,3968695
2020-06-17,55500,3960560
2020-06-16,55400,3953803
2020-06-15,55100,3938915
2020-06-14,54800,3927782
2020-06-12,54400,3904910
2020-06-10,54000,3887137
2020-06-09,53700,3874597
2020-06-08,53500,3859719
2020-06-07,53200,3846546
2020-06-06,53000,3836980
2020-06-05,52800,3826705
2020-06-04,52600,3815834
2020-06-03,52400,3805658
2020-06-02,52300,3798072
2020-06-01,52000,3783044
2020-05-31,51700,3772710
2020-05-30,51600,3763247
2020-05-29,51400,3753569
2020-05-28,51200,3741973
2020-05-27,51000,3730952
2020-05-26,50700,3719088
2020-05-25,50500,3704435
2020-05-24,50300,3698172
2020-05-23,49900,3680358
2020-05-22,49700,3674182
2020-05-21,49400,3657669
2020-05-20,49100,3648233
2020-05-19,48900,3637641
2020-05-18,48400,3624472
2020-05-17,48200,3613636
2020-05-16,48000,3604765
2020-05-15,47800,3594227
2020-05-14,47600,3583343
2020-05-13,47400,3571580
2020-05-12,47200,3557550
2020-05-11,46900,3541387
2020-05-10,46700,3530639
2020-05-09,46500,3520530
2020-05-08,46200,3506578
2020-05-07,46100,3500051
2020-05-06,45700,3484293
2020-05-05,45600,3472113
2020-05-04,45300,3459939
2020-05-03,45200,3453357
2020-05-01,44700,3428412
2020-04-30,44300,3410881
2020-04-29,44100,3405287
2020-04-28,43900,3394309
2020-04-27,43700,3381474
2020-04-26,43300,3362523
2020-04-25,43100,3353463
2020-04-24,42900,3340132
2020-04-23,42600,3324522
2020-04-22,42500,3319892
2020-04-21,42300,3304631
2020-04-20,42000,3290973
2020-04-19,41800,3276086
2020-04-18,41600,3264560
2020-04-17,41300,3252348
2020-04-16,41100,3240718
2020-04-15,40800,3223322
2020-04-14,40600,3210565
2020-04-13,40400,3201658
2020-04-12,40200,3191101
2020-04-11,40000,3178043
2020-04-10,39700,3159132
2020-04-09,39500,3148074
2020-04-08,39300,3136328
2020-04-07,39100,3121236
2020-04-06,38900,3108779
2020-04-05,38700,3097357
2020-04-04,38500,3087795
2020-04-03,38400,3077920
2020-04-02,38200,3068360
2020-04-01,38000,3057045
2020-03-31,37800,3041574
2020-03-30,37600,3028995
2020-03-29,37400,3016650
2020-03-28,37100,3004177
2020-03-27,36900,2993014
2020-03-26,36700,2984757
2020-03-25,36600,2976681
2020-03-24,36300,2960325
2020-03-23,36100,2948722
2020-03-22,35900,2937059
2020-03-21,35700,2926114
2020-03-20,35500,2919693
2020-03-19,35400,2909421
2020-03-18,35100,2895786
2020-03-17,34900,2887252
2020-03-16,34800,2879353
2020-03-15,34600,2868745
2020-03-14,34400,2862829
2020-03-12,34200,2848826
2020-03-11,34000,2840879
2020-03-10,33900,2834185
2020-03-09,33700,2823105
2020-03-08,33600,2816182
2020-03-07,33500,2811972
2020-03-06,33300,2802964
2020-03-05,33100,2790869
2020-03-03,32900,2781136
2020-03-02,32700,2770876
2020-03-01,32500,2758637
2020-02-28,32400,2748865
2020-02-27,32300,2741106
2020-02-26,32100,2734108
2020-02-25,31900,2722127
2020-02-24,31800,2713264
2020-02-22,31600,2703878
2020-02-21,31400,2694425
2020-02-20,31300,2689742
2020-02-19,31000,2675578
2020-02-17,30800,2666132
2020-02-16,30700,2656601
2020-02-15,30400,2642709
2020-02-14,30300,2637621
2020-02-13,30300,2634750
2020-02-12,30100,2623814
2020-02-11,29900,2614622
2020-02-10,29700,2610293
2020-02-09,29500,2600184
2020-02-08,29200,2587914
2020-02-07,29000,2579455
2020-02-05,28700,2570253
2020-02-04,28500,2561453
2020-02-03,28400,2552941
2020-02-02,28200,2545096
2020-02-01,28000,2536510
2020-01-31,27800,2529079
2020-01-30,27700,2522063
2020-01-29,27600,2514712
2020-01-28,27400,2507680
2020-01-27,27200,2499109
2020-01-26,27100,2491829
2020-01-25,26900,2484534
2020-01-24,26800,2478723
2020-01-23,26600,2471962
2020-01-22,26500,2465427
2020-01-21,26300,2456465
2020-01-20,26100,2448568
2020-01-19,25900,2442559
2020-01-18,25700,2434091
2020-01-17,25500,2427375
2020-01-16,25300,2420810
2020-01-15,25200,2413704
2020-01-14,25100,2406440
2020-01-13,24900,2400362
2020-01-12,24900,2395531
2020-01-11,24800,2387324
2020-01-10,24600,2378408
2020-01-09,24500,2371956
2020-01-08,24400,2366377
2020-01-07,24300,2360654
2020-01-06,24200,2353992
2020-01-05,24100,2348137
2020-01-04,24000,2342267
2020-01-03,24000,2335632
2020-01-02,23900,2331596
2020-01-01,23800,2323656
2019-12-31,23700,2320858
2019-12-30,23700,2315459
2019-12-29,23600,2308989
2019-12-28,23500,2300181
2019-12-27,23400,2294118
2019-12-26,23400,2293261
2019-12-25,23200,2281551
2019-12-24,23100,2276175
2019-12-23,23000,2270560
2019-12-22,23000,2268174
2019-12-21,22900,2260102
2019-12-20,22900,2257342
2019-12-19,22800,2251497
2019-12-18,22700,2243518
2019-12-17,22600,2236546
2019-12-16,22500,2229879
2019-12-15,22400,2224107
2019-12-14,22300,2218418
2019-12-13,22300,2212856
2019-12-12,22200,2205985
2019-12-11,22100,2202068
2019-12-10,22000,2193646
2019-12-09,21900,2187840
2019-12-08,21900,2182006
2019-12-07,21800,2176396
2019-12-06,21700,2170921
2019-12-05,21600,2165148
2019-12-04,21500,2158961
2019-12-03,21500,2157026
2019-12-02,21400,2150557
2019-12-01,21300,2140034
2019-11-30,21200,2134028
2019-11-29,21200,2128201
2019-11-28,21100,2121755
2019-11-27,21000,2115455
2019-11-26,20900,2108796
2019-11-25,20800,2102976
2019-11-24,20700,2096407
2019-11-23,20600,2090593
2019-11-22,20600,2085064
2019-11-21,20500,2079070
2019-11-20,20400,2072569
2019-11-19,20300,2066169
2019-11-18,20300,2065467
2019-11-17,20100,2054183
2019-11-16,20000,2048626
2019-11-15,19900,2042939
2019-11-14,19900,2037395
2019-11-13,19800,2031651
2019-11-12,19700,2025688
2019-11-11,19600,2019895
2019-11-10,19500,2014306
2019-11-09,19400,2009063
2019-11-08,19400,2008322
2019-11-07,19300,1998169
2019-11-06,19200,1992609
2019-11-05,19100,1987117
2019-11-04,19000,1981676
